timestamp,user,event_type,bytes,app,command,host,session_id
2025-09-04T02:22:58.372738,user1,login,0,auth_service,,host4,user1_0_860
2025-09-04T01:22:58.372738,user1,read,60874863,fileshare,,host2,user1_0_466
2025-09-03T22:22:58.372738,user1,login_fail,0,auth_service,,host5,user1_0_99
2025-09-05T00:22:58.372738,user1,login,0,auth_service,,host2,user1_1_343
2025-09-05T02:22:58.372738,user1,read,37691404,fileshare,,host2,user1_1_191
2025-09-06T04:22:58.372738,user1,login,0,auth_service,,host1,user1_2_474
2025-09-05T23:22:58.372738,user1,read,29743377,fileshare,,host4,user1_2_566
2025-09-07T02:22:58.372738,user1,login,0,auth_service,,host5,user1_3_840
2025-09-07T03:22:58.372738,user1,read,56284946,fileshare,,host2,user1_3_387
2025-09-08T05:22:58.372738,user1,login,0,auth_service,,host5,user1_4_897
2025-09-08T03:22:58.372738,user1,read,37965867,fileshare,,host4,user1_4_508
2025-09-08T21:22:58.372738,user1,login,0,auth_service,,host4,user1_5_1
2025-09-09T02:22:58.372738,user1,read,87045563,fileshare,,host2,user1_5_771
2025-09-09T21:22:58.372738,user1,login,0,auth_service,,host2,user1_6_957
2025-09-10T04:22:58.372738,user1,read,53453874,fileshare,,host4,user1_6_701
2025-09-11T00:22:58.372738,user1,login,0,auth_service,,host2,user1_7_216
2025-09-11T05:22:58.372738,user1,read,56483975,fileshare,,host5,user1_7_14
2025-09-10T20:22:58.372738,user1,read,4316766039,fileshare,7z,host1,user1_7_647
2025-09-10T22:22:58.372738,user1,app_use,0,7zip,,host3,user1_7_592
2025-09-12T03:22:58.372738,user1,login,0,auth_service,,host3,user1_8_418
2025-09-12T03:22:58.372738,user1,read,33215649,fileshare,,host1,user1_8_839
2025-09-13T03:22:58.372738,user1,login,0,auth_service,,host5,user1_9_98
2025-09-13T04:22:58.372738,user1,read,43815752,fileshare,,host3,user1_9_546
2025-09-13T20:22:58.372738,user1,login,0,auth_service,,host5,user1_10_217
2025-09-14T05:22:58.372738,user1,read,34405962,fileshare,,host2,user1_10_553
2025-09-14T20:22:58.372738,user1,login,0,auth_service,,host4,user1_11_95
2025-09-15T00:22:58.372738,user1,read,33122072,fileshare,,host5,user1_11_406
2025-09-16T02:22:58.372738,user1,login,0,auth_service,,host3,user1_12_242
2025-09-16T02:22:58.372738,user1,read,60028966,fileshare,,host4,user1_12_27
2025-09-17T05:22:58.372738,user1,login,0,auth_service,,host4,user1_13_472
2025-09-17T03:22:58.372738,user1,read,73163733,fileshare,,host1,user1_13_384
2025-09-04T04:22:58.372738,user2,login,0,auth_service,,host3,user2_0_358
2025-09-04T01:22:58.372738,user2,read,52540244,fileshare,,host1,user2_0_818
2025-09-05T03:22:58.372738,user2,login,0,auth_service,,host1,user2_1_691
2025-09-04T21:22:58.372738,user2,read,25011125,fileshare,,host1,user2_1_441
2025-09-05T20:22:58.372738,user2,login,0,auth_service,,host5,user2_2_624
2025-09-06T03:22:58.372738,user2,read,48712438,fileshare,,host5,user2_2_735
2025-09-07T05:22:58.372738,user2,login,0,auth_service,,host4,user2_3_438
2025-09-07T04:22:58.372738,user2,read,56898046,fileshare,,host3,user2_3_400
2025-09-08T01:22:58.372738,user2,login,0,auth_service,,host3,user2_4_510
2025-09-07T23:22:58.372738,user2,read,30189273,fileshare,,host4,user2_4_763
2025-09-07T14:22:58.372738,user2,read,4476780542,fileshare,powershell,host3,user2_4_147
2025-09-08T23:22:58.372738,user2,login,0,auth_service,,host1,user2_5_928
2025-09-09T04:22:58.372738,user2,read,38674045,fileshare,,host2,user2_5_871
2025-09-10T02:22:58.372738,user2,login,0,auth_service,,host2,user2_6_610
2025-09-10T05:22:58.372738,user2,read,37487674,fileshare,,host4,user2_6_571
2025-09-11T00:22:58.372738,user2,login,0,auth_service,,host5,user2_7_159
2025-09-11T03:22:58.372738,user2,read,39550770,fileshare,,host1,user2_7_232
2025-09-12T03:22:58.372738,user2,login,0,auth_service,,host1,user2_8_919
2025-09-11T23:22:58.372738,user2,read,63060966,fileshare,,host1,user2_8_98
2025-09-12T21:22:58.372738,user2,login,0,auth_service,,host3,user2_9_719
2025-09-13T05:22:58.372738,user2,read,72053749,fileshare,,host4,user2_9_160
2025-09-13T01:22:58.372738,user2,login_fail,0,auth_service,,host5,user2_9_815
2025-09-14T02:22:58.372738,user2,login,0,auth_service,,host3,user2_10_400
2025-09-13T23:22:58.372738,user2,read,58362370,fileshare,,host5,user2_10_562
2025-09-14T20:22:58.372738,user2,login,0,auth_service,,host4,user2_11_878
2025-09-14T21:22:58.372738,user2,read,12269439,fileshare,,host5,user2_11_828
2025-09-15T20:22:58.372738,user2,login,0,auth_service,,host4,user2_12_219
2025-09-16T02:22:58.372738,user2,read,14334978,fileshare,,host3,user2_12_891
2025-09-16T04:22:58.372738,user2,login_fail,0,auth_service,,host5,user2_12_606
2025-09-17T00:22:58.372738,user2,login,0,auth_service,,host1,user2_13_255
2025-09-16T23:22:58.372738,user2,read,45137310,fileshare,,host2,user2_13_792
2025-09-04T03:22:58.372738,user3,login,0,auth_service,,host2,user3_0_287
2025-09-03T22:22:58.372738,user3,read,27045600,fileshare,,host2,user3_0_784
2025-09-05T02:22:58.372738,user3,login,0,auth_service,,host5,user3_1_681
2025-09-05T03:22:58.372738,user3,read,77792056,fileshare,,host2,user3_1_866
2025-09-06T02:22:58.372738,user3,login,0,auth_service,,host1,user3_2_35
2025-09-05T23:22:58.372738,user3,read,61417810,fileshare,,host4,user3_2_353
2025-09-06T10:22:58.372738,user3,login_fail,0,auth_service,,host3,user3_2_664
2025-09-07T01:22:58.372738,user3,login,0,auth_service,,host2,user3_3_569
2025-09-07T02:22:58.372738,user3,read,72711312,fileshare,,host1,user3_3_691
2025-09-07T02:22:58.372738,user3,login_fail,0,auth_service,,host3,user3_3_443
2025-09-08T00:22:58.372738,user3,login,0,auth_service,,host4,user3_4_773
2025-09-07T23:22:58.372738,user3,read,50911436,fileshare,,host4,user3_4_655
2025-09-08T20:22:58.372738,user3,login,0,auth_service,,host3,user3_5_603
2025-09-09T03:22:58.372738,user3,read,36967993,fileshare,,host2,user3_5_740
2025-09-10T00:22:58.372738,user3,login,0,auth_service,,host1,user3_6_57
2025-09-10T02:22:58.372738,user3,read,47690531,fileshare,,host1,user3_6_487
2025-09-11T00:22:58.372738,user3,login,0,auth_service,,host5,user3_7_246
2025-09-10T23:22:58.372738,user3,read,66634171,fileshare,,host4,user3_7_153
2025-09-11T01:22:58.372738,user3,app_use,0,winscp,,host4,user3_7_68
2025-09-11T20:22:58.372738,user3,login,0,auth_service,,host4,user3_8_452
