user,date,login_count,failed_login,files_read,bytes_read,distinct_apps,avg_login_hour,fail_ratio,bytes_per_read,login_count_mean,failed_login_mean,files_read_mean,bytes_read_mean,distinct_apps_mean,avg_login_hour_mean,fail_ratio_mean,bytes_per_read_mean,bytes_read_z,if_score,ae_score,rule_outside_hours,rule_mass_download,rule_score,risk_score
user1,2025-09-03,0,1,0,0,1,22.0,1.0,0.0,0.9333333333333333,0.06666666666666667,1.0,334270802.8,1.8,7.188888888888888,0.06666666666666667,117828127.02222222,-0.9999999970084136,0.8946171883935272,0.2829576995402296,False,False,0.0,0.5321959040588324
user1,2025-09-04,1,0,1,60874863,2,1.5,0.0,30437431.5,0.9333333333333333,0.06666666666666667,1.0,334270802.8,1.8,7.188888888888888,0.06666666666666667,117828127.02222222,-0.8178875830375467,0.024484604103592333,0.01274067292242012,True,False,0.5,0.1160645039285222
user1,2025-09-05,1,0,2,67434781,2,8.333333333333334,0.0,22478260.333333332,0.9333333333333333,0.06666666666666667,1.0,334270802.8,1.8,7.188888888888888,0.06666666666666667,117828127.02222222,-0.7982630213784767,0.06622021810513729,0.016510036583264154,False,False,0.0,0.038063120027547886
user1,2025-09-06,1,0,0,0,1,4.0,0.0,0.0,0.9333333333333333,0.06666666666666667,1.0,334270802.8,1.8,7.188888888888888,0.06666666666666667,117828127.02222222,-0.9999999970084136,0.14353825125292288,0.04147802320746624,True,False,0.5,0.18421253258870132
user1,2025-09-07,1,0,1,56284946,2,2.5,0.0,28142473.0,0.9333333333333333,0.06666666666666667,1.0,334270802.8,1.8,7.188888888888888,0.06666666666666667,117828127.02222222,-0.8316187164414268,0.0052538591968497505,0.008794858724615646,True,False,0.5,0.10526538721580958
user1,2025-09-08,2,0,1,37965867,2,9.666666666666666,0.0,18982933.5,0.9333333333333333,0.06666666666666667,1.0,334270802.8,1.8,7.188888888888888,0.06666666666666667,117828127.02222222,-0.8864218245554115,0.07741068896951317,0.02302564729698122,False,False,0.0,0.04561303867385095
user1,2025-09-09,1,0,1,87045563,2,11.5,0.0,43522781.5,0.9333333333333333,0.06666666666666667,1.0,334270802.8,1.8,7.188888888888888,0.06666666666666667,117828127.02222222,-0.7395956721003942,0.03855134621691595,0.002302913482202474,False,False,0.0,0.019966547153118717
user1,2025-09-10,0,0,2,4370219913,2,15.333333333333334,0.0,1456739971.0,0.9333333333333333,0.06666666666666667,1.0,334270802.8,1.8,7.188888888888888,0.06666666666666667,117828127.02222222,12.073890583081788,0.8341914930894675,0.7768148386366877,False,True,0.5,0.75014019813574
user1,2025-09-11,1,0,1,56483975,2,2.5,0.0,28241987.5,0.9333333333333333,0.06666666666666667,1.0,334270802.8,1.8,7.188888888888888,0.06666666666666667,117828127.02222222,-0.8310233039862035,0.005704037033424857,0.008790666633527457,True,False,0.5,0.10548921850677068
user1,2025-09-12,1,0,1,33215649,2,3.0,0.0,16607824.5,0.9333333333333333,0.06666666666666667,1.0,334270802.8,1.8,7.188888888888888,0.06666666666666667,117828127.02222222,-0.9006325122553225,0.016588179387238423,0.007582119895865717,True,False,0.5,0.11056872566237894
user1,2025-09-13,2,0,1,43815752,2,9.0,0.0,21907876.0,0.9333333333333333,0.06666666666666667,1.0,334270802.8,1.8,7.188888888888888,0.06666666666666667,117828127.02222222,-0.8689213879827336,0.07404029781593148,0.022271753469797026,False,False,0.0,0.043701674948904846
user1,2025-09-14,1,0,1,34405962,2,12.5,0.0,17202981.0,0.9333333333333333,0.06666666666666667,1.0,334270802.8,1.8,7.188888888888888,0.06666666666666667,117828127.02222222,-0.8970715880391825,0.015775092218866294,0.0070929783966461254,False,False,0.0,0.010015439628426985
